,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
2,380647,142,11,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
3,380647,318,4,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
4,380647,356,11,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380649,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380933,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380933,51,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380945,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380945,8,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380947,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380947,5,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380963,1,9,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380963,912,14,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381022,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,381022,4,14,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381053,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381065,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,381065,138,4,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,381065,758,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381067,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,381067,4,9,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,381067,171,14,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381069,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,381069,5,15,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381070,1,15,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381075,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381078,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,381078,163,9,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381079,1,9,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,381079,5,14,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,381079,79,15,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381080,1,15,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381113,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381114,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,381115,1,7,32.0,HLT_PFJet320_v29/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
